PUID,FORMAT NAME,SIGNATURE
FMT/829,3MF 3D MANUFACTURING FORMAT,"[Content_Types].xml | (WW B:0-1024 seq ""ContentType=\""application/vnd.ms-package.3dmanufacturing-3dmodel+xml\"""")"
FMT/924,MICROSOFT VISIO DRAWING,"[Content_Types].xml | (WW B:0-4096 seq ""ContentType=\""application/vnd.ms-visio.drawing.main+xml\"""")"
FMT/925,MICROSOFT VISIO STENCIL,"[Content_Types].xml | (WW B:0-4096 seq ""ContentType=\""application/vnd.ms-visio.stencil.main+xml\"""")"
FMT/926,MICROSOFT VISIO TEMPLATE,"[Content_Types].xml | (WW B:0-4096 seq ""ContentType=\""application/vnd.ms-visio.template.main+xml\"""")"
FMT/927,MICROSOFT VISIO MACRO-ENABLED DRAWING,"[Content_Types].xml | (WW B:0-4096 seq ""ContentType=\""application/vnd.ms-visio.drawing.macroEnabled.main+xml\"""")"
FMT/928,MICROSOFT VISIO MACRO-ENABLED STENCIL,"[Content_Types].xml | (WW B:0-4096 seq ""ContentType=\""application/vnd.ms-visio.stencil.macroEnabled.main+xml\"""")"
FMT/929,MICROSOFT VISIO MACRO-ENABLED TEMPLATE,"[Content_Types].xml | (WW B:0-4096 seq ""ContentType=\""application/vnd.ms-visio.template.macroEnabled.main+xml\"""")"
FMT/937,ADOBE AIR,"mimetype | (F B:0 seq ""application/vnd.adobe.air-application-installer-package+zip""); META-INF/AIR/application.xml | (WW B:50-80 seq ""xmlns=\""http://ns.adobe.com/air/application/1.0\"""")"
FMT/942,ADOBE AIR,"mimetype | (F B:0 seq ""application/vnd.adobe.air-application-installer-package+zip""); META-INF/AIR/application.xml | (WW B:50-80 seq ""xmlns=\""http://ns.adobe.com/air/application/1.5\"""")"
FMT/943,ADOBE AIR,"mimetype | (F B:0 seq ""application/vnd.adobe.air-application-installer-package+zip""); META-INF/AIR/application.xml | (WW B:50-80 seq ""xmlns=\""http://ns.adobe.com/air/application/2.0\"""")"
FMT/995,SIARD (SOFTWARE-INDEPENDENT ARCHIVING OF RELATIONAL DATABASES),"header/metadata.xml | (WW B:50-256 seq ""xmlns=\""http://www.bar.admin.ch/xmlns/siard/2.0/metadata.xsd\"""")"
