PUID,FORMAT,SIGNATURES,BOF Offset,XML Declaration,Root tag,Root tag offset,Default namespace,Elements/attributes,Text encodings
FMT/496,TRANSXCHANGE FILE FORMAT,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | WW P:0-64 seq ""<TransXChange xsi:schemaLocation=\""http://www.transxchange.org.uk/"")",,,,,,,
FMT/571,DOMINO XML DOCUMENT EXPORT,"(F B:0 seq ""<document form="" | F P:0 c[seq ""\"""",seq ""'""] | WW P:0-32 c[seq ""\"""",seq ""'""] | F P:0 seq "">"" | WW P:0-32 seq ""<noteinfo noteid="" | F P:0 c[seq ""\"""",seq ""'""] | WW P:0-32 c[seq ""\"""",seq ""'""] | WW P:0-32 seq ""unid="" | F P:0 c[seq ""\"""",seq ""'""] | F P:32 c[seq ""\"""",seq ""'""])",,,,,,,
FMT/572,DOMINO XML DATABASE EXPORT,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:1-64 seq ""<!DOCTYPE database"" | WW P:1-64 seq ""<database xmlns=\""http://www.lotus.com/dxl\"""")(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq "" "" | WW P:1-64 seq ""<document xmlns="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""http://www.lotus.com/dxl"" | F P:0 c[seq ""\"""",seq ""'""])",,,,,,,
FMT/579,X3D,"(F B:0 seq ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n<!DOCTYPE X3D PUBLIC \""ISO//Web3D//DTD X3D 3.0//EN\"""")",,,,,,,
FMT/580,X3D,"(F B:0 seq ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n<!DOCTYPE X3D PUBLIC \""ISO//Web3D//DTD X3D 3.1//EN\"""")",,,,,,,
FMT/581,X3D,"(F B:0 seq ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n<!DOCTYPE X3D PUBLIC \""ISO//Web3D//DTD X3D 3.2//EN\"""")",,,,,,,
FMT/582,X3D,"(F B:0 seq ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n<!DOCTYPE X3D PUBLIC \""ISO//Web3D//DTD X3D 3.3//EN\"""")",,,,,,,
FMT/584,WINDOWS MEDIA METAFILE,"(WW B:0-1 seq ""<"" | F P:0 c[seq ""ASX"",seq ""asx""] | F P:0 seq "" "" | F P:0 c[seq ""VERSION"",seq ""version""] | WW P:0-1 seq ""="" | WW P:0-3 seq ""3"" | WW P:0-64 seq "">"")",,,,,,,
FMT/589,WINDOWS MEDIA PLAYLIST,"(F B:0 seq ""<?wpl version=\""1.0\""?>"")",,,,,,,
FMT/653,INTERLIS TRANSFER FILE,"(WW B:0-3 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq "" encoding="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""UTF-8"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:0-2 seq ""?>"" | WW P:0-256 seq ""<TRANSFER xmlns="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""http://www.interlis.ch/INTERLIS2.3"" | F P:0 c[seq ""\"""",seq ""'""])(WW B:0-2 seq ""<\x00?\x00x\x00m\x00l\x00 \x00v\x00e\x00r\x00s\x00i\x00o\x00n\x00=\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x001\x00.\x000\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x00 \x00e\x00n\x00c\x00o\x00d\x00i\x00n\x00g\x00=\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x00U\x00T\x00F\x00-\x008\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x00?\x00>"" | WW P:0-512 seq ""<\x00T\x00R\x00A\x00N\x00S\x00F\x00E\x00R\x00 \x00x\x00m\x00l\x00n\x00s\x00=\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x00h\x00t\x00t\x00p\x00:\x00/\x00/\x00w\x00w\x00w\x00.\x00i\x00n\x00t\x00e\x00r\x00l\x00i\x00s\x00.\x00c\x00h\x00/\x00I\x00N\x00T\x00E\x00R\x00L\x00I\x00S\x002\x00.\x003"")",,,,,,,
